,company,typename,screen_size,ram,memory,gpu,weight,price,px_h,px_v,screen_info,processor_brand,processor_freq,processor_details,gpu_brand,os_used,ssd_capacity,hdd_capacity,ssd_count,hdd_count,ssd_present,hdd_present,total_storage
0,Apple,Ultrabook,13.3,8,128GB SSD,Intel Iris Plus Graphics 640,1.37,71378.68,2560,1600,IPS Panel Retina Display,Intel,2.3,Core i5,Intel,mac_os,128,0,1,0,TRUE,FALSE,128
1,Apple,Ultrabook,13.3,8,128GB Flash Storage,Intel HD Graphics 6000,1.34,47895.52,1440,900,,Intel,1.8,Core i5,Intel,mac_os,128,0,1,0,TRUE,FALSE,128
2,HP,Notebook,15.6,8,256GB SSD,Intel HD Graphics 620,1.86,30636,1920,1080,Full HD,Intel,2.5,Core i5 7200U,Intel,no_preinstalled_os,256,0,1,0,TRUE,FALSE,256
3,Apple,Ultrabook,15.4,16,512GB SSD,AMD Radeon Pro 455,1.83,135195.34,2880,1800,IPS Panel Retina Display,Intel,2.7,Core i7,AMD,mac_os,512,0,1,0,TRUE,FALSE,512
4,Apple,Ultrabook,13.3,8,256GB SSD,Intel Iris Plus Graphics 650,1.37,96095.81,2560,1600,IPS Panel Retina Display,Intel,3.1,Core i5,Intel,mac_os,256,0,1,0,TRUE,FALSE,256
5,Acer,Notebook,15.6,4,500GB HDD,AMD Radeon R5,2.1,21312,1366,768,,AMD,3,A9-Series 9420,AMD,windows,0,500,0,1,FALSE,TRUE,500
6,Apple,Ultrabook,15.4,16,256GB Flash Storage,Intel Iris Pro Graphics,2.04,114017.6,2880,1800,IPS Panel Retina Display,Intel,2.2,Core i7,Intel,mac_os,256,0,1,0,TRUE,FALSE,256
7,Apple,Ultrabook,13.3,8,256GB Flash Storage,Intel HD Graphics 6000,1.34,61735.54,1440,900,,Intel,1.8,Core i5,Intel,mac_os,256,0,1,0,TRUE,FALSE,256
8,Asus,Ultrabook,14,16,512GB SSD,Nvidia GeForce MX150,1.3,79653.6,1920,1080,Full HD,Intel,1.8,Core i7 8550U,Nvidia,windows,512,0,1,0,TRUE,FALSE,512
9,Acer,Ultrabook,14,8,256GB SSD,Intel UHD Graphics 620,1.6,41025.6,1920,1080,IPS Panel Full HD,Intel,1.6,Core i5 8250U,Intel,windows,256,0,1,0,TRUE,FALSE,256
10,HP,Notebook,15.6,4,500GB HDD,Intel HD Graphics 620,1.86,20986.99,1366,768,,Intel,2.5,Core i5 7200U,Intel,no_preinstalled_os,0,500,0,1,FALSE,TRUE,500
11,HP,Notebook,15.6,4,500GB HDD,Intel HD Graphics 520,1.86,18381.07,1920,1080,Full HD,Intel,2,Core i3 6006U,Intel,no_preinstalled_os,0,500,0,1,FALSE,TRUE,500
12,Apple,Ultrabook,15.4,16,256GB SSD,AMD Radeon Pro 555,1.83,130001.6,2880,1800,IPS Panel Retina Display,Intel,2.8,Core i7,AMD,mac_os,256,0,1,0,TRUE,FALSE,256
13,Dell,Notebook,15.6,4,256GB SSD,AMD Radeon R5 M430,2.2,26581.39,1920,1080,Full HD,Intel,2,Core i3 6006U,AMD,windows,256,0,1,0,TRUE,FALSE,256
14,Apple,Ultrabook,12,8,256GB SSD,Intel HD Graphics 615,0.92,67260.67,2304,1440,IPS Panel Retina Display,Intel,1.2,Core M m3,Intel,mac_os,256,0,1,0,TRUE,FALSE,256
15,Apple,Ultrabook,13.3,8,256GB SSD,Intel Iris Plus Graphics 640,1.37,80908.34,2560,1600,IPS Panel Retina Display,Intel,2.3,Core i5,Intel,mac_os,256,0,1,0,TRUE,FALSE,256
16,Dell,Notebook,15.6,8,256GB SSD,AMD Radeon R5 M430,2.2,39693.6,1920,1080,Full HD,Intel,2.7,Core i7 7500U,AMD,windows,256,0,1,0,TRUE,FALSE,256
17,Apple,Ultrabook,15.4,16,512GB SSD,AMD Radeon Pro 560,1.83,152274.24,2880,1800,IPS Panel Retina Display,Intel,2.9,Core i7,AMD,mac_os,512,0,1,0,TRUE,FALSE,512
18,Lenovo,Notebook,15.6,8,1TB HDD,Nvidia GeForce 940MX,2.2,26586.72,1920,1080,Full HD,Intel,2.4,Core i3 7100U,Nvidia,no_preinstalled_os,0,1024,0,1,FALSE,TRUE,1024
19,Dell,Ultrabook,13.3,8,128GB SSD,Intel UHD Graphics 620,1.22,52161.12,1920,1080,IPS Panel Full HD / Touchscreen,Intel,1.6,Core i5 8250U,Intel,windows,128,0,1,0,TRUE,FALSE,128
20,Lenovo,Gaming,15.6,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,2.5,53226.72,1920,1080,IPS Panel Full HD,Intel,2.5,Core i5 7300HQ,Nvidia,windows,128,1024,1,1,TRUE,TRUE,1152
21,HP,Notebook,15.6,4,500GB HDD,AMD Radeon R2,1.86,13746.24,1366,768,,AMD,1.5,E-Series E2-9000e,AMD,no_preinstalled_os,0,500,0,1,FALSE,TRUE,500
22,Dell,2 in 1 Convertible,13.3,8,256GB SSD,Intel UHD Graphics 620,1.62,43636.32,1920,1080,Full HD / Touchscreen,Intel,1.6,Core i5 8250U,Intel,windows,256,0,1,0,TRUE,FALSE,256
23,HP,Ultrabook,15.6,8,256GB SSD,Intel HD Graphics 620,1.91,35111.52,1920,1080,Full HD,Intel,1.8,Core i7 8550U,Intel,windows,256,0,1,0,TRUE,FALSE,256
24,Dell,Notebook,15.6,4,1TB HDD,Intel HD Graphics 520,2.3,22305.14,1366,768,,Intel,2,Core i3 6006U,Intel,windows,0,1024,0,1,FALSE,TRUE,1024
25,Apple,Ultrabook,13.3,8,128GB Flash Storage,Intel HD Graphics 6000,1.35,58554.72,1440,900,,Intel,1.6,Core i5,Intel,mac_os,128,0,1,0,TRUE,FALSE,128
26,Dell,Notebook,15.6,8,256GB SSD,AMD Radeon 530,2.2,42624,1920,1080,Full HD,Intel,1.6,Core i5 8250U,AMD,windows,256,0,1,0,TRUE,FALSE,256
27,Dell,Ultrabook,15.6,8,256GB SSD +  256GB SSD,Intel UHD Graphics 620,1.88,69157.44,1920,1080,Full HD,Intel,1.9,Core i7 8650U,Intel,windows,256,0,2,0,TRUE,FALSE,256
28,HP,Notebook,17.3,8,1TB HDD,Nvidia GeForce 930MX,2.5,47738.88,1920,1080,Full HD,Intel,1.6,Core i5 8250U,Nvidia,windows,0,1024,0,1,FALSE,TRUE,1024
29,Chuwi,Notebook,15.6,4,64GB Flash Storage,Intel HD Graphics,1.89,13053.07,1920,1080,Full HD,Intel,1.44,Atom x5-Z8300,Intel,windows,64,0,0,0,FALSE,FALSE,64
30,Asus,Notebook,14,2,32GB Flash Storage,AMD Radeon R2,1.65,10602.72,1366,768,,AMD,1.5,E-Series E2-6110,AMD,windows,32,0,0,0,FALSE,FALSE,32
31,HP,Notebook,17.3,4,500GB HDD,AMD Radeon 530,2.71,23389.92,1920,1080,Full HD,AMD,2.5,A6-Series 9220,AMD,windows,0,500,0,1,FALSE,TRUE,500
32,Dell,Ultrabook,13.3,16,512GB SSD,Intel UHD Graphics 620,1.2,99580.32,3200,1800,Touchscreen / Quad HD+,Intel,1.8,Core i7 8550U,Intel,windows,512,0,1,0,TRUE,FALSE,512
33,Apple,Ultrabook,13.3,8,256GB Flash Storage,Intel HD Graphics 6000,1.35,53173.44,1440,900,,Intel,1.6,Core i5,Intel,mac_os,256,0,1,0,TRUE,FALSE,256
34,Lenovo,Notebook,14,4,64GB Flash Storage,Intel HD Graphics 500,1.44,13266.72,1366,768,,Intel,1.1,Celeron Dual Core N3350,Intel,windows,64,0,0,0,FALSE,FALSE,64
35,Acer,Notebook,15.6,4,1TB HDD,Intel HD Graphics 620,2.1,19553.76,1366,768,,Intel,2.7,Core i3 7130U,Intel,linux,0,1024,0,1,FALSE,TRUE,1024
36,Dell,Notebook,17.3,8,128GB SSD +  1TB HDD,AMD Radeon 530,2.8,52161.12,1920,1080,IPS Panel Full HD,Intel,1.6,Core i5 8250U,AMD,windows,128,1024,1,1,TRUE,TRUE,1152
37,HP,Notebook,15.6,4,1TB HDD,Intel HD Graphics 620,1.86,26037.4,1366,768,,Intel,2.5,Core i5 7200U,Intel,windows,0,1024,0,1,FALSE,TRUE,1024
38,HP,Notebook,15.6,8,256GB SSD,Nvidia GeForce 930MX ,2.1,46833.12,1920,1080,Full HD,Intel,1.6,Core i5 8250U,Nvidia,windows,256,0,1,0,TRUE,FALSE,256
39,Asus,Notebook,15.6,4,1TB HDD,Intel HD Graphics 620,2,20725.92,1920,1080,Full HD,Intel,2,Core i3 6006U,Intel,linux,0,1024,0,1,FALSE,TRUE,1024
40,Dell,Gaming,15.6,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,2.65,79866.72,1920,1080,IPS Panel Full HD,Intel,2.8,Core i7 7700HQ,Nvidia,windows,256,1024,1,1,TRUE,TRUE,1280
41,Asus,Notebook,15.6,8,1TB HDD,Nvidia GeForce 940MX,2.3,27864.91,1366,768,,Intel,2.5,Core i5 7200U,Nvidia,linux,0,1024,0,1,FALSE,TRUE,1024
42,Acer,Notebook,15.6,4,256GB SSD,Intel UHD Graphics 620,2.2,36336.96,1920,1080,IPS Panel Full HD,Intel,1.6,Core i5 8250U,Intel,windows,256,0,1,0,TRUE,FALSE,256
43,Dell,2 in 1 Convertible,17.3,12,1TB HDD,Nvidia GeForce 150MX,2.77,53226.72,1920,1080,Full HD / Touchscreen,Intel,1.6,Core i5 8250U,Nvidia,windows,0,1024,0,1,FALSE,TRUE,1024
44,Apple,Ultrabook,13.3,8,256GB SSD,Intel Iris Graphics 540,1.37,75604.32,2560,1600,IPS Panel Retina Display,Intel,2,Core i5,Intel,mac_os,256,0,1,0,TRUE,FALSE,256
45,Asus,Gaming,17.3,8,256GB SSD +  1TB HDD,AMD Radeon RX 580,3.2,69210.72,1920,1080,Full HD,AMD,3,Ryzen 1700,AMD,windows,256,1024,1,1,TRUE,TRUE,1280
46,Dell,Notebook,15.6,4,256GB SSD,AMD Radeon R5 M430,2.3,34045.92,1920,1080,Full HD,Intel,2.5,Core i5 7200U,AMD,windows,256,0,1,0,TRUE,FALSE,256
47,Asus,Notebook,17.3,4,1TB HDD,Nvidia GeForce 920MX,2.8,24828.48,1366,768,,Intel,1.1,Pentium Quad Core N4200,Nvidia,windows,0,1024,0,1,FALSE,TRUE,1024
48,Acer,Notebook,15.6,8,256GB SSD,Nvidia GeForce MX150,2.2,44808.48,1920,1080,IPS Panel Full HD,Intel,1.8,Core i7 8550U,Nvidia,windows,256,0,1,0,TRUE,FALSE,256
49,HP,Notebook,15.6,4,256GB SSD,AMD Radeon R4 Graphics,1.86,21231.55,1920,1080,Full HD,AMD,2.5,A6-Series 9220,AMD,windows,256,0,1,0,TRUE,FALSE,256
50,HP,Notebook,13.3,8,512GB SSD,Intel UHD Graphics 620,1.49,58767.84,1920,1080,Full HD,Intel,1.8,Core i7 8550U,Intel,windows,512,0,1,0,TRUE,FALSE,512
51,Acer,Notebook,15.6,4,1TB HDD,Intel HD Graphics 620,2.4,20459.52,1366,768,,Intel,2.4,Core i3 7100U,Intel,windows,0,1024,0,1,FALSE,TRUE,1024
52,Dell,Notebook,15.6,8,256GB SSD,AMD Radeon 520,2.13,40908.38,1920,1080,Full HD,Intel,1.8,Core i7 8550U,AMD,windows,256,0,1,0,TRUE,FALSE,256
53,HP,Notebook,15.6,4,128GB SSD,Intel HD Graphics 520,1.91,23389.92,1920,1080,Full HD,Intel,2,Core i3 6006U,Intel,windows,128,0,1,0,TRUE,FALSE,128
54,Asus,Notebook,15.6,4,256GB SSD,Intel HD Graphics 620,2,31232.2,1366,768,,Intel,2.5,Core i5 7200U,Intel,windows,256,0,1,0,TRUE,FALSE,256
55,MSI,Gaming,17.3,16,256GB SSD +  2TB HDD,Nvidia GeForce GTX 1070,2.43,130482.72,1920,1080,Full HD,Intel,2.8,Core i7 7700HQ,Nvidia,windows,256,2048,1,1,TRUE,TRUE,2304
56,Asus,Notebook,15.6,4,256GB SSD,Intel HD Graphics 520,2,22111.2,1920,1080,Full HD,Intel,2,Core i3 6006U,Intel,linux,256,0,1,0,TRUE,FALSE,256
57,Dell,Notebook,17.3,16,256GB SSD +  2TB HDD,AMD Radeon 530,2.8,69210.72,1920,1080,Full HD,Intel,1.8,Core i7 8550U,AMD,windows,256,2048,1,1,TRUE,TRUE,2304
58,Dell,Ultrabook,14,8,256GB SSD,Intel UHD Graphics 620,1.7,46833.12,1920,1080,Full HD,Intel,1.6,Core i5 8250U,Intel,windows,256,0,1,0,TRUE,FALSE,256
59,Lenovo,Notebook,14,8,256GB SSD,Intel HD Graphics 620,1.7,31914.72,1920,1080,IPS Panel Full HD,Intel,2.7,Core i3 7130U,Intel,no_preinstalled_os,256,0,1,0,TRUE,FALSE,256
60,Asus,Notebook,14,8,256GB SSD,Intel UHD Graphics 620,1.4,50136.48,1920,1080,Full HD,Intel,1.6,Core i5 8250U,Intel,windows,256,0,1,0,TRUE,FALSE,256
61,HP,Notebook,15.6,8,256GB SSD,Intel HD Graphics 620,1.86,36763.2,1920,1080,Full HD,Intel,2.5,Core i5 7200U,Intel,windows,256,0,1,0,TRUE,FALSE,256
62,Asus,Ultrabook,15.6,16,512GB SSD,Nvidia GeForce GTX 1050 Ti,1.8,105654.24,1920,1080,Full HD,Intel,2.8,Core i7 7700HQ,Nvidia,windows,512,0,1,0,TRUE,FALSE,512
